weapon,别名,时间,国家,特点,作用
深空探测器[宇宙探测器],空间探测器或宇宙探测器,暂无介绍,未知,深空探测器离开地球时必须获得足够大的速度才能克服或摆脱地球引力，增大速度以改变飞行轨道，深空探测器的显著特点是，不能采用太阳能电池阵，而必须采用核能源系统，需要采用特殊防护结构,暂无介绍
隼鸟2号小行星探测器,无,暂无介绍,未知,暂无介绍,暂无介绍
探测器L1S-2号,无,1969年7月3日运载,苏联,暂无介绍,暂无介绍
皮埃尔·奥格天文台,无,暂无介绍,阿根廷,暂无介绍,暂无介绍
徘徊者勘测者探测器,无,暂无介绍,美国,暂无介绍,暂无介绍
徘徊者1号,无,1961年8月23日,美国,暂无介绍,暂无介绍
木卫二-木星系任务,无,暂无介绍,美国,暂无介绍,暂无介绍
凌日系外行星勘测人造卫星,无,暂无介绍,未知,暂无介绍,暂无介绍
金星5号,无,1969年1月5日接近,未知,暂无介绍,暂无介绍
金星7号,无,1970年12月15日发射实现,苏联,暂无介绍,暂无介绍
海洋一号B卫星,无,暂无介绍,中国,其观测能力和探测精度进一步增强和提高,主要用于探测叶绿素、悬浮泥沙、可溶有机物及海洋表面温度等要素和进行海岸带动态变化监测，为海洋经济发展和国防建设服务
NOAA气象观测卫星,无,19601965年称为1970,美国,暂无介绍,暂无介绍
天绘一号,无,2010年8月24日,中国,采用了CAST2000小卫星平台，与美国SRTM相对精度12m/6m（平面/高程1σ）同等的技术水平,天绘一号是中国第一代传输型立体测绘卫星，01星和02星分别于2010年8月24日和2012年5月6日发射成功并组网运行，主要用于科学研究、国土资源普查、地图测绘等领域的科学试验任务
ENVISAT对地观测卫星,无,2002年3月1日发射升空,未知,其他设备提供更高精度数据,其他设备提供更高精度数据，用于研究地球大气层及大气密度，作为ERS-1/2合成孔径雷达卫星的延续，Envisat-1主要用于监视环境，对地球表面和大气层进行连续的观测，供制图、资源勘查、气象及灾害判断之用
高层大气研究卫星,无,1991年9月15日到达距,未知,暂无介绍,暂无介绍
遥感卫星十三号,无,暂无介绍,未知,暂无介绍,暂无介绍
隐形卫星“天基监视系统”卫星,无,暂无介绍,美国,天基空间监视系统的特点和优势在哪里,暂无介绍
Cartosat-2B印度遥感卫星,无,2010年7月12日送入,印度,暂无介绍,暂无介绍
实践十一号03星,无,2011年7月6日,中国,暂无介绍,“实践十一号03星”是由中国航天科技集团公司所属东方红卫星有限公司负责研制的，主要用于开展空间科学与技术试验
低轨道卫星系统,无,暂无介绍,未知,暂无介绍,暂无介绍
海洋二号卫星,无,2011年8月16日载有点火升空,中国,暂无介绍,暂无介绍
Landsat-7,无,1999年4月15日发射升空,美国,暂无介绍,暂无介绍
遥感卫星八号,无,暂无介绍,中国,暂无介绍,暂无介绍
希望一号卫星,无,暂无介绍,中国,暂无介绍,暂无介绍
宇宙1号太阳能测试航天器,无,2001年发射,俄罗斯,暂无介绍,宇宙一号是一枚航天器，用于太阳帆技术试验
哈勃空间望远镜[天文仪器],无,1990年4月24日发射,美国,暂无介绍,暂无介绍
太阳神号,无,暂无介绍,未知,暂无介绍,太阳神-A和太阳神-B（即太阳神1号和太阳神2号）是用于研究太阳活动而发射进入日心轨道的两艘姊妹探测器
太阳极大期任务卫星,无,1980年2月14日发射,未知,暂无介绍,太阳极大期任务卫星是1980年2月14日发射，用于研究太阳现像，特别是太阳耀斑的卫星
先锋2号,无,1959年2月17日发射,美国,暂无介绍,暂无介绍
FY-3A卫星,无,2008年5月27日研究发射升空,中国,暂无介绍,2018年2月11日，因卫星轨道漂移作用累加影响，帆板光照角超出了仪器的设计范围，卫星在轨光照条件恶化，整星能源无法实现天平衡，风云三号A星最后四个载荷关机，光荣退役
风云四号01星,无,2016年12月11日发射,中国,首次实现了静止轨道大气高精度温度、湿度廓线探测,暂无介绍
风云二号06星,无,暂无介绍,未知,暂无介绍,暂无介绍
风云1C,无,1999年8月交付,中国,暂无介绍,风云1C自1999年8月交付，1999年9月1日正式转入业务运行以来，风云1C每天可获得1次全球定量观测资料，加强了我国对全球天气、气候和环境的监测能力
GPS全球卫星定位系统,无,暂无介绍,美国,它可以为地球表面绝大部分地区（98%）提供准确的定位、测速和高精度的时间标准,暂无介绍
GPS全球定位系统,无,暂无介绍,美国,暂无介绍,其主要目的是为陆、海、空三大领域提供实时、全天候和全球性的导航服务，并用于情报收集、核爆炸监测和应急通讯等一些军事目的，是美国独霸全球战略的重要组成
东方联星,无,暂无介绍,未知,暂无介绍,暂无介绍
寇蒂斯HS系列,无,暂无介绍,未知,这种飞机实质上是采用双发动机的H系列的单发改型,暂无介绍
北斗授时,无,暂无介绍,中国,采用中国的北斗导航系统进行高精度授时,暂无介绍
国际空间站[一项国际太空合作计划],无,1983年提出,美国,暂无介绍,暂无介绍
空间站,太空站、航天站,暂无介绍,未知,在空间站中要有人能够生活的一切设施,暂无介绍
和平号空间站核心舱,无,1986年2月20日发射升空,苏联,暂无介绍,暂无介绍
宇宙空间站[航天站],太空站、航天站,暂无介绍,未知,在空间站中要有人能够生活的一切设施,暂无介绍
中国载人空间站工程,无,2010年10月启动实施,中国,暂无介绍,暂无介绍
和谐号节点舱,无,2007年10月23日发射,未知,暂无介绍,暂无介绍
命运号实验舱,无,2001年2月上旬相连,美国,暂无介绍,暂无介绍
曙光号功能货舱,无,1998年11月20日发射升空,俄罗斯,暂无介绍,暂无介绍
团结号节点舱,无,1998年12月6日发射入,未知,暂无介绍,暂无介绍
寻求号气密舱,无,2001年7月14日发射升空,未知,暂无介绍,暂无介绍
商业太空站,无,2013年投入,英国,暂无介绍,暂无介绍
鑫诺2大型抗干扰通信广播卫星,无,2006年10月29日发射,中国,暂无介绍, 该卫星主要用于为中国大陆、港、澳、台地区直播电视、数字电视、广播和数字宽带多媒体系统等用户服务
DAMB数字节目通信卫星,无,暂无介绍,未知,暂无介绍,暂无介绍
中星2A卫星通信广播卫星,无,2012年5月26日发射,中国,暂无介绍,“中星2A”卫星可为全国广播电台、电视台、无线发射台和有线电视网等机构提供广播电视及宽带多媒体等传输业务，将为中国通信广播事业提供更好服务
尼日利亚通信卫星一号,无,暂无介绍,尼日利亚,具有输出功率大、承载能力强、服务寿命长等特点， 采用三轴稳定方式,暂无介绍
帕拉帕-D印尼通信卫星,无,暂无介绍,印度尼西亚,暂无介绍,暂无介绍
H-200相控阵雷达,无,2007年露,中国,暂无介绍,暂无介绍
FCS-3有源相控阵雷达,无,暂无介绍,日本,暂无介绍,暂无介绍
346A型有源相控阵雷,无,暂无介绍,未知,346A型在结构设计和材料应用方面并未采用更先进技术和材料,暂无介绍
雪豹E相控阵雷达,无,暂无介绍,未知,并能够排除水面上的杂波干扰，还能够随时应对来自空中的威胁，并能够引导主动雷达制导空空导弹完成精确攻击,暂无介绍
地面监视雷达,无,暂无介绍,未知,暂无介绍,暂无介绍
相控阵雷达,无,暂无介绍,未知,而相邻的数个天线即具有一个雷达的功能，具有多个雷达的功能,暂无介绍
IBIS150型对空目标指示雷达,无,暂无介绍,未知,暂无介绍,暂无介绍
dwl002反隐身雷达,无,暂无介绍,未知,该系统具有隐蔽性好、探测距离远、抗干扰能力强等性能特点,DWL002被动探测雷达系统是一种反隐身飞机雷达，是一种能对空中、地面和海上目标进行定位、识别和跟踪的电子情报侦测系统，它可以作为无源三维防空雷达使用，作用距离可达500公里左右，并对隐身目标有探索能力
JY-26型警戒雷达,无,暂无介绍,中国,采用先进的二维数字有源相控阵体制，测量精度高,暂无介绍
电子脉冲弹,电子脉冲炸弹,暂无介绍,未知,暂无介绍,暂无介绍
Packed.Klone.au,无,暂无介绍,未知,暂无介绍,暂无介绍
P98M.W97M.Closer.C,无,暂无介绍,未知,暂无介绍,暂无介绍
Backdoor/Huigezi.2007.qm,无,暂无介绍,未知,暂无介绍,暂无介绍
永恒之蓝WannaCry勒索病毒,无,2017年5月12日爆发进行,英国,暂无介绍,暂无介绍
变形金刚盗号木马,无,2011年,未知,暂无介绍,暂无介绍
冰河木马,无,1999年编写,未知,暂无介绍,暂无介绍
熊猫烧香病毒,无,2006年10月16日编写,中国,暂无介绍,暂无介绍
千年虫电脑病毒,无,2000年叫做千禧年千年,未知,暂无介绍,暂无介绍
震网病毒,无,2010年6月检测出来,伊朗,暂无介绍,暂无介绍
CCleaner,无,暂无介绍,未知,CCleanerBT的体积小，运行速度极快,暂无介绍
brontok,无,暂无介绍,未知,暂无介绍,暂无介绍
bobax.h蠕虫病毒,无,暂无介绍,未知,暂无介绍,暂无介绍
Blebla.B病毒,无,暂无介绍,未知,暂无介绍,暂无介绍
Blebla.B,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.AddUser.f,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Small.ab,无,暂无介绍,未知,暂无介绍,Win32.Troj.Small.ab这是一个木马下载器，用于下载并执行木马
Win32.Troj.WinShow.an,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.IcmpCmd,无,暂无介绍,未知,例如：添加一个Admin用户、执行一个GUI程序、执行一个命令行程序、重启计算机打开远程SHELL、注入远程SHELL等等,暂无介绍
Win32.Troj.Killav.ak,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.MsMedia,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Satbo,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.UpdatePart,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Mir2Dll,无,暂无介绍,未知,暂无介绍,暂无介绍
下载者迎风号,无,暂无介绍,未知,暂无介绍,暂无介绍
小蠕虫变种AR,无,暂无介绍,未知,它能够通过修改系统注册表的手段来绕过Windows的防火墙,暂无介绍
星空锁变种ay,无,暂无介绍,未知,采用VC++语言编写,暂无介绍
一句话木马,无,暂无介绍,未知,暂无介绍,一句话木马短小精悍，而且功能强大，隐蔽性非常好，在入侵中始终扮演着强大的作用
硬盘寄生虫变种agv,无,暂无介绍,未知,采用VC++编写，硬盘寄生虫变种agv可能具有U盘、移动硬盘等自我传播的功能,暂无介绍
自动运行木马变种YTK,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Small.ag,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Delf.jv,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.EtHorse.b,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Vivia.l,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.LineageDll.w,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.cimspark,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.PornWare.a,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.PSWfengshen,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.IRCbot,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.QQWHBoy,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Laorenshen,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.WizardBoy.d,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Vcing.xo,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Downloader.dn,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.QiaoZhaZhe.wt,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Dropper.iy,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.PswGame.mio,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Agent.eis,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.T2yuhuo,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.StartPgCash,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.PSWMir,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Startpage.j,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Harnig.e,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Elitor,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.PSWLmir.kj,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Snowdoor35,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Casper,无,暂无介绍,日本,暂无介绍,暂无介绍
Win32.Troj.Happyshy,无,暂无介绍,中国,暂无介绍,暂无介绍
Win32.Troj.NTRootKit,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Lineage.ae,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Mir2HAK,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.TEQQpass,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Spung.a,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Tibser.c,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.ADNavihelper,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.CmjDown,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Lookme.g,无,暂无介绍,未知,暂无介绍,Win32.Troj.Lookme.g是一个木马下载器，用于下载并执行木马
Win32.Troj.Qiann.i,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.GetPSW,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.Killav.dr,无,暂无介绍,未知,暂无介绍,暂无介绍
Win32.Troj.AddUser.e,无,暂无介绍,未知,暂无介绍,暂无介绍
